date,Qw,Qs
90,58.0802816901,0.0224501727
91,57.0126760563,0.0218708477
92,56.238028169,0.0214190805
93,55.7197183099,0.0209938879
94,55.2788732394,0.0203986181
95,54.9563380282,0.0203082647
96,55.6267605634,0.0211055009
97,56.7464788732,0.0225777305
98,58.1464788732,0.0245017273
99,60.1887323944,0.0269412703
100,62.0746478873,0.0294286474
101,64.2591549296,0.0323305873
102,66.2732394366,0.0348817433
103,67.9957746479,0.0369651874
104,69.8887323944,0.0388519798
105,71.1450704225,0.0398883869
106,71.7690140845,0.0405899548
107,72.0985915493,0.0409619984
108,72.4563380282,0.0413553016
109,73.5112676056,0.0425033218
110,74.285915493,0.0433590221
111,74.5042253521,0.0435025246
112,74.5605633803,0.0435716184
113,74.5408450704,0.0435503588
114,74.6014084507,0.0435663035
115,74.7676056338,0.0436300824
116,74.938028169,0.0436672867
117,74.9732394366,0.0436566569
118,74.9169014085,0.0436353973
119,75.2521126761,0.0438533085
120,75.9352112676,0.0442519267
121,76.3873239437,0.0446771193
122,76.7507042254,0.0449375498
123,76.7873239437,0.044985384
124,76.5816901408,0.044751528
125,76.1197183099,0.044347595
126,75.6563380282,0.0439489769
127,75.2521126761,0.0436726016
128,74.9492957746,0.0435237842
129,74.8887323944,0.0437576402
130,75.4464788732,0.0446877491
131,75.8971830986,0.0454105767
132,76.276056338,0.0460058464
133,76.4830985915,0.0463406856
134,76.4774647887,0.0463991496
135,76.1563380282,0.0462715918
136,75.6549295775,0.0460483657
137,74.8605633803,0.0456550625
138,73.8591549296,0.0450704225
139,72.5042253521,0.0440446452
140,70.9591549296,0.0426574542
141,69.344084507,0.0413765613
142,67.9807042254,0.0404145628
143,66.7057746479,0.0396332713
144,65.2467605634,0.0389157587
145,64.1678873239,0.0383842679
146,63.3143661972,0.0379803348
147,62.5777464789,0.0376933298
148,62.0764788732,0.0374913633
149,61.678028169,0.0373531757
150,61.2208450704,0.0371990433
151,60.6495774648,0.0370077066
152,60.0632394366,0.036811055
153,59.7188732394,0.0367100718
154,59.4166197183,0.0366303481
155,59.1369014085,0.0365612543
156,59.4228169014,0.0378740367
157,62.4791549296,0.0413393569
158,65.9847887324,0.0454743556
159,73.72,0.1017432899
160,100.3721126761,0.6124262556
161,138.1242253521,1.31391443
162,169.8678873239,1.8772309328
163,190.9129577465,2.2066808398
164,208.5918309859,2.4308477279
165,223.7270422535,2.5976295509
166,238.8143661972,2.7585011959
167,257.4622535211,3.0099229338
168,281.4763380282,3.3702577731
169,297.2932394366,3.5892957746
170,312.9833802817,3.8290619187
171,334.6594366197,4.2823810789
172,364.405915493,5.1455168748
173,398.7721126761,6.1152591018
174,424.7721126761,6.7505022588
175,449.5608450704,7.3435663035
176,478.0397183099,8.0119479139
177,500.7707042254,8.5010842413
178,519.234084507,8.9007281424
179,536.8467605634,9.3758384268
180,554.8890140845,9.9379165559
181,573.5397183099,10.4790326867
182,594.8692957746,10.9841934627
183,619.481971831,11.5314270529
184,641.7805633803,11.9246133404
185,660.905915493,12.2056284879
